study_accession	curation_status	n_runs	n_samples	study_title	first_public_year	platforms	targets	countries
PRJNA1182249	KEEP	278	278	Microbiota and mycobiota of grape and soil samples collected over three consecutive harvest periods across the Nemea PDO zone vineyards Raw sequence reads	2024	ILLUMINA	16S (unspecified)	
PRJEB79310	KEEP	250	250	Bacterial 16S and fungal ITS metabarcoding of topsoil, leaf phyllosphere, and endosphere in grape plots with high and low susceptibility to downy mildew	2024	ILLUMINA	ITS, ITS2	missing: control sample
PRJNA1000746	KEEP	189	189	Bacterial Leaf Phyllosphere Microbiome Treated with Copper- and Sulphur Based Fungicides. (16S Sequences)	2024	ILLUMINA	16S (unspecified)	Australia: Adelaide
PRJEB83803	KEEP	186	186	Arbuscular mycorrhizal fungal communities in French vineyards across Terroir and farming practices	2024	ILLUMINA		France
PRJNA1000758	KEEP	183	183	Fungal Leaf Phyllosphere Microbiome Treated with Copper- and Sulphur Based Fungicides. (ITS Sequences)	2024	ILLUMINA	ITS	Australia: Adelaide
PRJNA978637	KEEP	141	141	The microbiome of grapevine trunk disease escape grapevines	2024	ILLUMINA		New Zealand:Fernhill, New Zealand:Lincoln, New Zealand:Waipara
PRJEB65486	KEEP	130	130	Influence of grapevine rootstock and scion genotypes on root system microbiomes.	2024	ILLUMINA	ITS	France
PRJEB68302	KEEP	122	122	ITS1 Metabarcoding of the wash-off from Forficula auricularia sampled in vineyards	2024	ILLUMINA	ITS1	Germany
PRJNA1063098	KEEP	120	120	soil bacterial and fungal raw sequences from vineyard soils in California.	2024	ILLUMINA	16S V4, ITS	USA: California
PRJNA1081177	KEEP	97	97	TrunkBioCode - Metagenomic analysis of the trunk microbiome of GTD affected grapevines	2024	ILLUMINA	ITS2	Portugal: Alentejo, Arraiolos, Portugal: Alentejo, Campo Maior, Portugal: Alentejo, Estremoz, Portugal: Alentejo, Pedrogo, Portugal: Alentejo, Portalegre, Portugal: Alentejo, Redondo, Portugal: Alentejo, vora, Portugal: Algarve, Albufeira, Portugal: Algarve, Lagoa, Portugal: Algarve, Lagos, Portugal: Algarve, Portimo, Portugal: Algarve, Silves, Portugal: Bairrada, Anadia, Portugal: Bairrada, Cantanhede, Portugal: Bairrada, Oliveira do Bairro, Portugal: Do, Gouveia, Portugal: Do, Nelas, Portugal: Do, Seia, Portugal: Do, Viseu, Portugal: Douro, Ervedosa do Do, Portugal: Douro, Peso da Rgua, Portugal: Douro, Sao Joo da Pesqueira, Portugal: Douro, Tabuao, Portugal: Douro, Vila Flor, Portugal: Lisboa, Arruda dos Vinhos, Portugal: Lisboa, Sobral Monte Agrao, Portugal: Lisboa, Tapada da Ajuda, Portugal: Lisboa, Torres Vedras, Portugal: Peninsula de Setubal, Santo Isidro de Peges, Portugal: Tejo, Almeirim
